b'Ask_TREASURE',b'RT @lofficielmy: Read our exclusive interview with @treasuremembers now here: https://t.co/N4PWSzfOTf\n\n#Ask_TREASURE #\xed\x8a\xb8\xeb\xa0\x88\xec\xa0\x80 #TREASURE #YG htt\xe2\x80\xa6',1601656804.350424
b'\xed\x8a\xb8\xeb\xa0\x88\xec\xa0\x80',b'RT @lofficielmy: Read our exclusive interview with @treasuremembers now here: https://t.co/N4PWSzfOTf\n\n#Ask_TREASURE #\xed\x8a\xb8\xeb\xa0\x88\xec\xa0\x80 #TREASURE #YG htt\xe2\x80\xa6',1601656804.368429
b'TREASURE',b'RT @lofficielmy: Read our exclusive interview with @treasuremembers now here: https://t.co/N4PWSzfOTf\n\n#Ask_TREASURE #\xed\x8a\xb8\xeb\xa0\x88\xec\xa0\x80 #TREASURE #YG htt\xe2\x80\xa6',1601656804.37543
b'YG',b'RT @lofficielmy: Read our exclusive interview with @treasuremembers now here: https://t.co/N4PWSzfOTf\n\n#Ask_TREASURE #\xed\x8a\xb8\xeb\xa0\x88\xec\xa0\x80 #TREASURE #YG htt\xe2\x80\xa6',1601656804.383431
b'Kiramagers',"b""RT @DaisukiToku: Mashin Sentai #Kiramager's Kiramai Red, Kiramai Yellow, and Kiramai Green star in a new traffic safety educational series\xe2\x80\xa6""",1601656804.391434
b'Apex\xe5\x8b\x9f\xe9\x9b\x86ps4',b'season6 \xe3\x82\xb9\xe3\x83\x972\xe3\x83\xa9\xe3\x83\xb3\xe3\x82\xaf\xe5\x9b\xba\xe5\xae\x9a\xe3\x83\xa1\xe3\x83\xb3\xe3\x83\x90\xe3\x83\xbc\xe5\x8b\x9f\xe9\x9b\x86\n\nKD1.5 3800dmg \xe6\x9c\x80\xe9\xab\x98\xe3\x83\xa9\xe3\x83\xb3\xe3\x82\xaf\xe3\x83\x80\xe3\x82\xa4\xe3\x83\xa4\xe2\x85\xa2\n\n\xe5\x90\x8c\xe3\x81\x98\xe3\x81\x8f\xe3\x82\x89\xe3\x81\x84\xe3\x81\xae\xe6\x96\xb9\xef\xbc\xa02\xe5\x8b\x9f\xe9\x9b\x86\xe3\x81\xa7\xe3\x81\x99\xe3\x80\x82\n\xe3\x83\x9e\xe3\x82\xb9\xe3\x82\xbf\xe3\x83\xbc\xe7\x9b\xae\xe6\x8c\x87\xe3\x81\x97\xe3\x81\xa6\xe4\xb8\x80\xe7\xb7\x92\xe3\x81\xab\xe9\xa0\x91\xe5\xbc\xb5\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x97\xe3\x82\x87\xe3\x81\x86\xe3\x80\x82\n\n#Apex\xe5\x8b\x9f\xe9\x9b\x86ps4 \n#apex\xe3\x82\xaf\xe3\x83\xa9\xe3\x83\xb3\xe5\x8b\x9f\xe9\x9b\x86ps4 \n#Apex\xe5\x8b\x9f\xe9\x9b\x86ps4\xe5\x9b\xba\xe5\xae\x9a\xe3\x83\xa1\xe3\x83\xb3\xe3\x83\x90\xe3\x83\xbc\n#Apex\xe5\x8b\x9f\xe9\x9b\x86\xe3\x83\xa9\xe3\x83\xb3\xe3\x82\xaf',1601656804.474452
b'apex\xe3\x82\xaf\xe3\x83\xa9\xe3\x83\xb3\xe5\x8b\x9f\xe9\x9b\x86ps4',b'season6 \xe3\x82\xb9\xe3\x83\x972\xe3\x83\xa9\xe3\x83\xb3\xe3\x82\xaf\xe5\x9b\xba\xe5\xae\x9a\xe3\x83\xa1\xe3\x83\xb3\xe3\x83\x90\xe3\x83\xbc\xe5\x8b\x9f\xe9\x9b\x86\n\nKD1.5 3800dmg \xe6\x9c\x80\xe9\xab\x98\xe3\x83\xa9\xe3\x83\xb3\xe3\x82\xaf\xe3\x83\x80\xe3\x82\xa4\xe3\x83\xa4\xe2\x85\xa2\n\n\xe5\x90\x8c\xe3\x81\x98\xe3\x81\x8f\xe3\x82\x89\xe3\x81\x84\xe3\x81\xae\xe6\x96\xb9\xef\xbc\xa02\xe5\x8b\x9f\xe9\x9b\x86\xe3\x81\xa7\xe3\x81\x99\xe3\x80\x82\n\xe3\x83\x9e\xe3\x82\xb9\xe3\x82\xbf\xe3\x83\xbc\xe7\x9b\xae\xe6\x8c\x87\xe3\x81\x97\xe3\x81\xa6\xe4\xb8\x80\xe7\xb7\x92\xe3\x81\xab\xe9\xa0\x91\xe5\xbc\xb5\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x97\xe3\x82\x87\xe3\x81\x86\xe3\x80\x82\n\n#Apex\xe5\x8b\x9f\xe9\x9b\x86ps4 \n#apex\xe3\x82\xaf\xe3\x83\xa9\xe3\x83\xb3\xe5\x8b\x9f\xe9\x9b\x86ps4 \n#Apex\xe5\x8b\x9f\xe9\x9b\x86ps4\xe5\x9b\xba\xe5\xae\x9a\xe3\x83\xa1\xe3\x83\xb3\xe3\x83\x90\xe3\x83\xbc\n#Apex\xe5\x8b\x9f\xe9\x9b\x86\xe3\x83\xa9\xe3\x83\xb3\xe3\x82\xaf',1601656804.482454
b'Apex\xe5\x8b\x9f\xe9\x9b\x86ps4\xe5\x9b\xba\xe5\xae\x9a\xe3\x83\xa1\xe3\x83\xb3\xe3\x83\x90\xe3\x83\xbc',b'season6 \xe3\x82\xb9\xe3\x83\x972\xe3\x83\xa9\xe3\x83\xb3\xe3\x82\xaf\xe5\x9b\xba\xe5\xae\x9a\xe3\x83\xa1\xe3\x83\xb3\xe3\x83\x90\xe3\x83\xbc\xe5\x8b\x9f\xe9\x9b\x86\n\nKD1.5 3800dmg \xe6\x9c\x80\xe9\xab\x98\xe3\x83\xa9\xe3\x83\xb3\xe3\x82\xaf\xe3\x83\x80\xe3\x82\xa4\xe3\x83\xa4\xe2\x85\xa2\n\n\xe5\x90\x8c\xe3\x81\x98\xe3\x81\x8f\xe3\x82\x89\xe3\x81\x84\xe3\x81\xae\xe6\x96\xb9\xef\xbc\xa02\xe5\x8b\x9f\xe9\x9b\x86\xe3\x81\xa7\xe3\x81\x99\xe3\x80\x82\n\xe3\x83\x9e\xe3\x82\xb9\xe3\x82\xbf\xe3\x83\xbc\xe7\x9b\xae\xe6\x8c\x87\xe3\x81\x97\xe3\x81\xa6\xe4\xb8\x80\xe7\xb7\x92\xe3\x81\xab\xe9\xa0\x91\xe5\xbc\xb5\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x97\xe3\x82\x87\xe3\x81\x86\xe3\x80\x82\n\n#Apex\xe5\x8b\x9f\xe9\x9b\x86ps4 \n#apex\xe3\x82\xaf\xe3\x83\xa9\xe3\x83\xb3\xe5\x8b\x9f\xe9\x9b\x86ps4 \n#Apex\xe5\x8b\x9f\xe9\x9b\x86ps4\xe5\x9b\xba\xe5\xae\x9a\xe3\x83\xa1\xe3\x83\xb3\xe3\x83\x90\xe3\x83\xbc\n#Apex\xe5\x8b\x9f\xe9\x9b\x86\xe3\x83\xa9\xe3\x83\xb3\xe3\x82\xaf',1601656804.489456
b'Apex\xe5\x8b\x9f\xe9\x9b\x86\xe3\x83\xa9\xe3\x83\xb3\xe3\x82\xaf',b'season6 \xe3\x82\xb9\xe3\x83\x972\xe3\x83\xa9\xe3\x83\xb3\xe3\x82\xaf\xe5\x9b\xba\xe5\xae\x9a\xe3\x83\xa1\xe3\x83\xb3\xe3\x83\x90\xe3\x83\xbc\xe5\x8b\x9f\xe9\x9b\x86\n\nKD1.5 3800dmg \xe6\x9c\x80\xe9\xab\x98\xe3\x83\xa9\xe3\x83\xb3\xe3\x82\xaf\xe3\x83\x80\xe3\x82\xa4\xe3\x83\xa4\xe2\x85\xa2\n\n\xe5\x90\x8c\xe3\x81\x98\xe3\x81\x8f\xe3\x82\x89\xe3\x81\x84\xe3\x81\xae\xe6\x96\xb9\xef\xbc\xa02\xe5\x8b\x9f\xe9\x9b\x86\xe3\x81\xa7\xe3\x81\x99\xe3\x80\x82\n\xe3\x83\x9e\xe3\x82\xb9\xe3\x82\xbf\xe3\x83\xbc\xe7\x9b\xae\xe6\x8c\x87\xe3\x81\x97\xe3\x81\xa6\xe4\xb8\x80\xe7\xb7\x92\xe3\x81\xab\xe9\xa0\x91\xe5\xbc\xb5\xe3\x82\x8a\xe3\x81\xbe\xe3\x81\x97\xe3\x82\x87\xe3\x81\x86\xe3\x80\x82\n\n#Apex\xe5\x8b\x9f\xe9\x9b\x86ps4 \n#apex\xe3\x82\xaf\xe3\x83\xa9\xe3\x83\xb3\xe5\x8b\x9f\xe9\x9b\x86ps4 \n#Apex\xe5\x8b\x9f\xe9\x9b\x86ps4\xe5\x9b\xba\xe5\xae\x9a\xe3\x83\xa1\xe3\x83\xb3\xe3\x83\x90\xe3\x83\xbc\n#Apex\xe5\x8b\x9f\xe9\x9b\x86\xe3\x83\xa9\xe3\x83\xb3\xe3\x82\xaf',1601656804.496458
b'DragRaceHolland',"b""RT @WorldOfWonder: The ripple effect of last week's drama keeping us FED \xf0\x9f\x91\x8f\n\n@missabbyomg1 @janeyjacke #DragRaceHolland https://t.co/eocLbax\xe2\x80\xa6""",1601656804.628487
b'playstation',b'https://t.co/DfmHtPNO7Z #playstation #ps #twitch',1601656804.937556
b'ps',b'https://t.co/DfmHtPNO7Z #playstation #ps #twitch',1601656804.945559
b'twitch',b'https://t.co/DfmHtPNO7Z #playstation #ps #twitch',1601656804.95256
b'PS4share',b'#PS4share\n\nhttps://t.co/zlsfADmbMJ https://t.co/ALfGLh9tt5',1601656805.511686
b'BlackHistoryMonth',"b""RT @artmember209: It's day 2 of #BlackHistoryMonth\n And this is a tribute to a truly British  modern, black unsung hero. \nWhat a man! @jwhp\xe2\x80\xa6""",1601656805.593706
b'oferta',"b'\xc2\xa1Ojo a la #oferta ! Los fant\xc3\xa1sticos Sennheiser GSP 500 est\xc3\xa1n hoy a 138,47 \xe2\x82\xac \xf0\x9f\xa4\xaf\n\n\xc2\xa1Precio m\xc3\xadnimo en casi un a\xc3\xb1o!\xe2\x80\xa6 https://t.co/3BDh4PVmYW'",1601656805.921779
b'bayyanl\xc4\xb1\xc5\x9f',b'RT @Lusilu0: Que bien hablar por favor la amo \xe2\x99\xa5\xef\xb8\x8f\n\n#bayyanl\xc4\xb1\xc5\x9f',1601656806.14983
b'PS4live',b'Check out my broadcast from my PlayStation 4! #PS4live (Rogue Company)  live at https://t.co/KMoaXrNKOL',1601656806.575925
b'claret',b'Claret on St.Paul is Breaking Ground this FALL!!!!\n.\n.\n.\n.\n. #claret #claretonstpaul #capitalnorth\xe2\x80\xa6 https://t.co/COzmfz90k5',1601656806.707955
b'claretonstpaul',b'Claret on St.Paul is Breaking Ground this FALL!!!!\n.\n.\n.\n.\n. #claret #claretonstpaul #capitalnorth\xe2\x80\xa6 https://t.co/COzmfz90k5',1601656806.715957
b'capitalnorth',b'Claret on St.Paul is Breaking Ground this FALL!!!!\n.\n.\n.\n.\n. #claret #claretonstpaul #capitalnorth\xe2\x80\xa6 https://t.co/COzmfz90k5',1601656806.722958
b'PS4share',b'@tos  #PS4share\n\nhttps://t.co/SVmYg4dWhC https://t.co/ozo76O9Rqz',1601656806.792974
b'royalehigh',b'RT @FancyDecay: Trading New Val halo 2020\n#royalehigh #royalehightrading #royalehighhalotrades #royalehighhalos #RoyaleHighHalo #royalehigh\xe2\x80\xa6',1601656808.044257
b'royalehightrading',b'RT @FancyDecay: Trading New Val halo 2020\n#royalehigh #royalehightrading #royalehighhalotrades #royalehighhalos #RoyaleHighHalo #royalehigh\xe2\x80\xa6',1601656808.052257
b'royalehighhalotrades',b'RT @FancyDecay: Trading New Val halo 2020\n#royalehigh #royalehightrading #royalehighhalotrades #royalehighhalos #RoyaleHighHalo #royalehigh\xe2\x80\xa6',1601656808.059259
b'royalehighhalos',b'RT @FancyDecay: Trading New Val halo 2020\n#royalehigh #royalehightrading #royalehighhalotrades #royalehighhalos #RoyaleHighHalo #royalehigh\xe2\x80\xa6',1601656808.06626
b'RoyaleHighHalo',b'RT @FancyDecay: Trading New Val halo 2020\n#royalehigh #royalehightrading #royalehighhalotrades #royalehighhalos #RoyaleHighHalo #royalehigh\xe2\x80\xa6',1601656808.074262
b'royalehigh',b'RT @FancyDecay: Trading New Val halo 2020\n#royalehigh #royalehightrading #royalehighhalotrades #royalehighhalos #RoyaleHighHalo #royalehigh\xe2\x80\xa6',1601656808.082264
b'PS4share',b'Me &amp;Mel #PS4share\n\nhttps://t.co/UksS6WUVDS https://t.co/hW3pE7UxBl',1601656808.315347
b'',"b""RT @thefilopinks: hello, who's from malabon that's willing to help to operate 36 pc from 8am to 12pm. please hit us up asap. \n\n@BLACKPINK #\xe2\x80\xa6""",1601656808.417339
b'THEALBUM',b'eu s\xc3\xb3 queria que o #THEALBUM fosse vendido nas lojas brasileiras',1601656808.496357
b'freecodefridaycontest',b'RT @majornelson: #freecodefridaycontest time. Read this and you could win a code for @CrashBandicoot 4: It\xe2\x80\x99s About Time on Xbox One. Good l\xe2\x80\xa6',1601656808.523364
b'1',b'RT @VakzyyFN: Grind @wkDCrew as console player #1\n\n@wkdkiza https://t.co/aDgOiN66D9',1601656808.609383
b'PS5',b'@ActuG @DeriveFigurine #PS5',1601656808.648392
b'PS4live',b'Check out my broadcast from my PlayStation 4! #PS4live (Call of Duty\xc2\xae: Modern Warfare\xc2\xae)  live at https://t.co/3lwFoGbAY7',1601656808.824431
b'CONCOURS',"b""RT @RomainLanery: #CONCOURS: Suite \xc3\xa0 ma collaboration avec @microsoftfrance et @IntelFrance je fais gagner les 4 PC que j'ai film\xc3\xa9 pour la\xe2\x80\xa6""",1601656808.965463
